Marca de Tiempo, Uso de Memoria (%)
09: 26: 05,45.2
09: 26: 06,45.2
09: 26: 07,45.2
09: 26: 08,45.2
09: 26: 09,45.2
09: 26: 10,45.3
09: 26: 11,44.9
09: 26: 12,44.9
09: 26: 13,44.9
09: 26: 14,44.7
09: 26: 15,44.7
09: 26: 16,44.8
09: 26: 17,45.0
09: 26: 18,44.8
09: 26: 19,44.7
09: 26: 20,44.8
09: 26: 21,44.8
09: 26: 22,44.8
09: 26: 23,44.7
09: 26: 24,44.7
09: 26: 25,44.7
09: 26: 26,44.8
09: 26: 27,44.8
09: 26: 28,44.8
09: 26: 29,44.6
09: 26: 30,44.6
09: 26: 31,44.6
09: 26: 32,44.6
09: 26: 33,44.5
09: 26: 34,44.5
09: 26: 35,44.8
09: 26: 36,44.8
09: 26: 37,44.7
09: 26: 38,45.4
09: 26: 39,45.4
09: 26: 40,45.3
09: 26: 41,45.3
09: 26: 42,45.3
09: 26: 43,45.3
09: 26: 44,45.1
09: 26: 45,45.1
09: 26: 46,45.0
09: 26: 47,44.9
09: 26: 48,44.9
09: 26: 49,44.9
09: 26: 50,44.8
09: 26: 51,44.3
09: 26: 52,44.3
09: 26: 53,44.2
09: 26: 54,44.2
09: 26: 55,44.2
09: 26: 56,44.1
09: 26: 57,44.1
09: 26: 58,44.2
09: 26: 59,44.2
09: 27: 00,44.2
09: 27: 01,44.2
09: 27: 02,44.2
09: 27: 03,44.2
09: 27: 04,44.2
09: 27: 05,44.2
09: 27: 06,44.2
09: 27: 07,44.2
09: 27: 08,44.2
09: 27: 09,44.1
09: 27: 10,44.1
09: 27: 11,44.1
09: 27: 12,44.1
09: 27: 13,44.1
09: 27: 14,44.1
09: 27: 15,44.1
09: 27: 16,44.1
09: 27: 17,44.0
09: 27: 18,44.1
09: 27: 19,44.1
09: 27: 20,44.5
09: 27: 21,44.5
09: 27: 22,44.8
09: 27: 23,44.8
09: 27: 24,44.8
09: 27: 25,44.8
09: 27: 26,44.6
09: 27: 27,44.8
09: 27: 28,45.1
09: 27: 30,45.6
09: 27: 31,46.0
09: 27: 32,46.0
09: 27: 33,46.0
09: 27: 34,45.9
09: 27: 35,46.1
09: 27: 36,45.9
09: 27: 37,45.9
09: 27: 38,45.8
09: 27: 39,45.9
09: 27: 40,45.9
09: 27: 41,45.9
09: 27: 42,45.7
09: 27: 43,45.9
09: 27: 44,46.0
09: 27: 45,46.0
09: 27: 46,46.0
09: 27: 47,46.0
09: 27: 48,46.0
09: 27: 49,46.0
09: 27: 50,46.0
09: 27: 51,45.9
09: 27: 52,45.9
09: 27: 53,45.9
09: 27: 54,45.8
09: 27: 55,45.8
09: 27: 56,45.7
09: 27: 57,45.7
09: 27: 58,45.6
09: 27: 59,45.6
09: 28: 00,45.6
09: 28: 01,45.6
09: 28: 02,45.7
09: 28: 03,45.7
09: 28: 04,45.7
09: 28: 05,45.7
09: 28: 06,45.8
09: 28: 07,45.8
09: 28: 08,45.8
09: 28: 09,46.0
09: 28: 10,45.9
09: 28: 11,46.0
09: 28: 12,46.0
09: 28: 13,45.9
09: 28: 14,45.9
09: 28: 15,45.9
09: 28: 16,45.8
09: 28: 17,45.8
09: 28: 18,45.7
09: 28: 19,45.1
09: 28: 20,45.1
09: 28: 21,45.1
09: 28: 22,45.0
09: 28: 23,45.0
09: 28: 24,44.9
09: 28: 25,45.0
09: 28: 26,45.0
09: 28: 27,45.0
09: 28: 28,45.0
09: 28: 29,44.9
09: 28: 30,44.8
09: 28: 31,44.9
09: 28: 32,44.9
09: 28: 33,44.9
09: 28: 34,45.0
09: 28: 35,45.0
09: 28: 36,45.0
09: 28: 37,45.0
09: 28: 38,44.8
09: 28: 39,44.8
09: 28: 40,44.9
09: 28: 41,44.8
09: 28: 42,44.8
09: 28: 43,44.8
09: 28: 44,44.8
09: 28: 45,44.7
09: 28: 46,44.8
09: 28: 47,44.8
09: 28: 48,44.7
09: 28: 49,44.6
09: 28: 50,44.6
09: 28: 51,44.6
09: 28: 52,44.6
09: 28: 53,44.6
09: 28: 54,44.6
09: 28: 55,44.6
09: 28: 56,44.5
09: 28: 57,44.5
09: 28: 58,44.5
09: 28: 59,44.5
09: 29: 00,44.5
09: 29: 01,44.5
09: 29: 02,44.5
09: 29: 03,44.5
09: 29: 04,44.5
09: 29: 05,44.5
09: 29: 06,44.5
09: 29: 07,44.5
09: 29: 08,44.5
09: 29: 09,44.5
09: 29: 10,44.5
09: 29: 11,44.9
09: 29: 12,44.8
09: 29: 13,45.9
09: 29: 14,45.9
09: 29: 15,46.2
09: 29: 16,46.2
09: 29: 17,46.4
09: 29: 18,47.0
09: 29: 19,47.3
09: 29: 20,47.5
09: 29: 21,47.0
09: 29: 22,47.0
09: 29: 23,46.6
09: 29: 24,46.7
09: 29: 25,46.6
09: 29: 26,47.1
09: 29: 27,47.1
09: 29: 28,47.1
09: 29: 29,47.3
09: 29: 30,47.2
09: 29: 31,47.2
09: 29: 32,47.0
09: 29: 33,46.9
09: 29: 34,46.6
09: 29: 35,46.4
09: 29: 36,46.2
09: 29: 37,45.9
09: 29: 38,45.9
09: 29: 39,45.9
09: 29: 40,46.1
09: 29: 41,46.1
09: 29: 42,46.1
09: 29: 43,46.1
09: 29: 44,46.1
09: 29: 45,46.0
09: 29: 46,45.8
09: 29: 47,45.7
09: 29: 48,45.6
09: 29: 49,45.6
09: 29: 50,45.6
09: 29: 51,45.5
09: 29: 52,45.5
09: 29: 53,45.3
09: 29: 54,45.3
09: 29: 55,45.3
09: 29: 56,45.3
09: 29: 57,45.3
09: 29: 58,45.3
09: 29: 59,45.3
